topic_id,0,1,2,3,4,5,6,7,8,label,doc_weight_sum_amer,term_freq
T00,time,machines,war,bomb,thing,arm,profits,strength,power,"T00 time, machines, war, bomb, thing, arm, profits, strength, power",449.17471007016456,0.08499057453467125
T01,man,yes,moon,face,right,course,cart,time,street,"T01 man, yes, moon, face, right, course, cart, time, street",453.8507121494376,0.0870498886844505
T02,men,way,unions,business,city,police,field,end,time,"T02 men, way, unions, business, city, police, field, end, time",382.7191615173024,0.07813921186100677
T03,time,man,character,ship,earth,people,animals,view,purpose,"T03 time, man, character, ship, earth, people, animals, view, purpose",416.67780103041076,0.10683434537730765
T04,said,way,eyes,moment,face,house,door,room,hand,"T04 said, way, eyes, moment, face, house, door, room, hand",548.9678580305524,0.09749330965345328
T05,men,life,mind,time,world,women,man,century,society,"T05 men, life, mind, time, world, women, man, century, society",471.378629056762,0.12291480252084505
T06,earth,air,night,moon,time,day,course,man,machine,"T06 earth, air, night, moon, time, day, course, man, machine",377.03764345126405,0.09173043484887901
T07,life,world,time,surplus,country,years,man,things,day,"T07 life, world, time, surplus, country, years, man, things, day",453.45356679384804,0.09535431229944757
T08,labor,class,men,nation,day,time,people,course,army,"T08 labor, class, men, nation, day, time, people, course, army",545.0433751072758,0.16442362476219796
T09,music,father,room,dont,children,day,course,meat,dollars,"T09 music, father, room, dont, children, day, course, meat, dollars",395.69654279301164,0.07106949545774077
